,Class of Rating,Name,Rating Score,Review Number,URL
45,Very Good,Bluebird Suites In The Heart of Fenway,8.4,62 reviews,http://booking.com/hotel/us/bluebird-suites-in-the-heart-of-fenway.html#hotelTmpl
46,Excellent,Hyatt Regency Boston Harbor,8.6,"1,360 reviews",http://booking.com/hotel/us/hyatt-harborside.html#hotelTmpl
47,Excellent,One-Bedroom on Washington Street Apt 204,8.8,"2,190 reviews",http://booking.com/hotel/us/one-bedroom-on-washington-street-apt-204.html#hotelTmpl
48,Very Good,14 Gloucester Street #G by Lyon Apartments,8.4,42 reviews,http://booking.com/hotel/us/14-gloucester-st-b-by-lyon-apartments.html#hotelTmpl
49,Awesome,The Lenox,9.3,898 reviews,http://booking.com/hotel/us/the-lenox.html#hotelTmpl
50,Very Good,Aloft Boston Seaport,8.5,765 reviews,http://booking.com/hotel/us/aloft-boston-seaport.html#hotelTmpl
51,Very Good,112 Myrtle St #7 by Lyon Apartments,8.0,15 reviews,http://booking.com/hotel/us/112-myrtle-st-7.html#hotelTmpl
52,Awesome,InterContinental Boston,9.0,729 reviews,http://booking.com/hotel/us/intercontinental-boston.html#hotelTmpl
53,Good,Temple Place Suites by Short Term Rentals Boston,7.3,136 reviews,http://booking.com/hotel/us/temple-place-suites-by-short-term-rentals-boston.html#hotelTmpl
54,Excellent,The Bostonian Boston,8.9,972 reviews,http://booking.com/hotel/us/millennium-bostonian.html#hotelTmpl
55,Excellent,Taj Boston,8.8,"2,190 reviews",http://booking.com/hotel/us/taj-boston.html#hotelTmpl
56,Good,Jefferies Point Condos by Airport & Subway - 2,7.8,230 reviews,http://booking.com/hotel/us/jefferies-point-condos-by-airport-amp-subway-2.html#hotelTmpl
57,Awesome,Hilton Garden Inn Boston Logan Airport,9.0,946 reviews,http://booking.com/hotel/us/hilton-garden-inn-boston-logan-airport.html#hotelTmpl
58,Good,Chandler Inn Hotel,7.8,823 reviews,http://booking.com/hotel/us/chandler-inn.html#hotelTmpl
59,Very Good,Two-Bedroom on D Street Apt 344,8.3,420 reviews,http://booking.com/hotel/us/two-bedroom-on-d-street-apt-344.html#hotelTmpl
60,Awesome,Hilton Garden Inn Boston Logan Airport,9.0,946 reviews,http://booking.com/hotel/us/hilton-garden-inn-boston-logan-airport.html#hotelTmpl
61,Good,Chandler Inn Hotel,7.8,823 reviews,http://booking.com/hotel/us/chandler-inn.html#hotelTmpl
62,Very Good,Two-Bedroom on D Street Apt 344,8.3,420 reviews,http://booking.com/hotel/us/two-bedroom-on-d-street-apt-344.html#hotelTmpl
63,Awesome,Three-Bedroom on Hamilton Place Apt 508,9.3,5 reviews,http://booking.com/hotel/us/three-bedroom-on-hamilton-place-apt-508.html#hotelTmpl
64,Very Good,Back Bay Beacon,8.3,157 reviews,http://booking.com/hotel/us/back-bay-beacon.html#hotelTmpl
65,Awesome,Canal Street Apartment by Stay Alfred,9.0,200 reviews,http://booking.com/hotel/us/avenir-by-stay-alfred.html#hotelTmpl
66,Excellent,Three-Bedroom on Larose Place Apt L,8.7,13 reviews,http://booking.com/hotel/us/three-bedroom-on-larose-place-apt-l.html#hotelTmpl
67,Awesome,One-Bedroom on Washington Street Apt 308,9.0,198 reviews,http://booking.com/hotel/us/one-bedroom-on-washington-street-apt-308.html#hotelTmpl
68,Very Good,Club Quarters Hotel in Boston,8.2,"2,108 reviews",http://booking.com/hotel/us/club-quarters-in-boston.html#hotelTmpl
69,Very Good,Bluebird Suites at Boston's Theatre District,8.2,58 reviews,http://booking.com/hotel/us/bluebird-suites-at-boston-39-s-theatre-district.html#hotelTmpl
70,Very Good,Three-Bedroom on Hamilton Place Apt 408,8.2,440 reviews,http://booking.com/hotel/us/three-bedroom-on-hamilton-place-apt-408.html#hotelTmpl
71,Awesome,The Baldwin at Longwood Medical Area,9.1,143 reviews,http://booking.com/hotel/us/the-baldwin-at-longwood-medical-area.html#hotelTmpl
72,Awesome,One-Bedroom on Boylston Street Apt 1311,10,"2,023 reviews",http://booking.com/hotel/us/one-bedroom-on-boylston-street-apt-1311.html#hotelTmpl
73,Very Good,Two-Bedroom House on Columbus Avenue,8.5,204 reviews,http://booking.com/hotel/us/two-bedroom-house-on-columbus-avenue.html#hotelTmpl
74,Good,102 Chandler #7 By Lyon Apartments,7.4,595 reviews,http://booking.com/hotel/us/102-chandler-7-by-lyon-apartments-boston12.html#hotelTmpl
75,Good,102 Chandler #7 By Lyon Apartments,7.4,595 reviews,http://booking.com/hotel/us/102-chandler-7-by-lyon-apartments-boston12.html#hotelTmpl
76,Excellent,Two-Bedroom on Hamilton Place Apt 502,8.8,"2,190 reviews",http://booking.com/hotel/us/two-bedroom-on-hamilton-place-apt-502.html#hotelTmpl
77,Awesome,The Verb Hotel,9.0,"1,056 reviews",http://booking.com/hotel/us/the-verb.html#hotelTmpl
78,Excellent,"Battery Wharf Hotel, Boston Waterfront",8.6,"1,045 reviews",http://booking.com/hotel/us/battery-wharf-hotel.html#hotelTmpl
79,Very Good,Global Luxury Suites at China Town,8.2,223 reviews,http://booking.com/hotel/us/the-kensington.html#hotelTmpl
80,Very Good,AC Hotel by Marriott Boston Downtown,8.5,202 reviews,http://booking.com/hotel/us/ac-by-marriott-boston-downtown.html#hotelTmpl
81,Excellent,Two-Bedroom on Hamilton Place Apt 402,9.6,254 reviews,http://booking.com/hotel/us/two-bedroom-on-hamilton-place-apt-402.html#hotelTmpl
82,Very Good,Hilton Boston Logan Airport,8.1,"2,169 reviews",http://booking.com/hotel/us/hilton-logan-airport.html#hotelTmpl
83,Good,Global Luxury Suites at Back Bay,7.6,112 reviews,http://booking.com/hotel/us/global-serviced-apartments.html#hotelTmpl
